id_employee,age,genre,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
27,36,M,Célibataire,Commercial,Représentant Commercial,7,10,5,3,3,2,1,2,3,4,Non,23.0,1,0,4,9,4,Infra & Cloud,Occasionnel,0,3
28,34,F,Célibataire,Consulting,Directeur Technique,0,13,12,6,1,3,2,3,3,3,Non,11.0,0,0,4,7,4,Infra & Cloud,Occasionnel,2,11
30,21,M,Célibataire,Consulting,Assistant de Direction,1,0,0,0,3,3,4,4,3,3,Non,14.0,0,0,6,15,2,Infra & Cloud,Occasionnel,0,0
31,34,M,Célibataire,Consulting,Assistant de Direction,2,8,4,2,2,3,1,3,3,3,Non,11.0,1,0,2,6,1,Transformation Digitale,Occasionnel,1,3
32,53,F,Divorcé(e),Consulting,Senior Manager,4,26,14,13,3,3,3,4,2,3,Non,11.0,0,1,3,5,3,Autre,Occasionnel,4,8
33,32,F,Célibataire,Consulting,Assistant de Direction,1,10,10,2,2,1,1,2,3,4,Oui,22.0,1,0,5,16,1,Infra & Cloud,Frequent,6,7
35,42,M,Marié(e),Commercial,Cadre Commercial,0,10,9,7,3,3,2,4,3,3,Non,11.0,0,1,2,8,4,Marketing,Occasionnel,4,2
36,44,F,Marié(e),Consulting,Manager,3,24,22,6,1,2,4,4,3,3,Non,14.0,0,1,4,7,4,Transformation Digitale,Occasionnel,5,17
38,46,F,Célibataire,Commercial,Senior Manager,3,22,2,2,2,3,1,4,2,3,Non,12.0,0,0,2,2,4,Marketing,Occasionnel,2,1
39,33,M,Célibataire,Consulting,Consultant,4,7,1,1,3,3,4,4,3,3,Non,11.0,0,0,3,2,3,Transformation Digitale,Occasionnel,0,0
40,44,M,Marié(e),Consulting,Manager,2,9,4,2,4,3,4,4,4,3,Oui,13.0,0,0,5,10,4,Autre,Occasionnel,1,3
41,30,M,Célibataire,Consulting,Consultant,1,10,10,0,4,2,3,1,3,3,Non,13.0,0,0,5,9,2,Transformation Digitale,Occasionnel,1,8
42,39,M,Marié(e),Commercial,Représentant Commercial,3,19,1,0,4,3,4,3,4,3,Non,14.0,1,1,6,5,3,Entrepreunariat,Occasionnel,0,0
45,24,M,Marié(e),Consulting,Assistant de Direction,2,6,2,0,2,3,4,1,2,3,Oui,16.0,1,1,2,1,3,Transformation Digitale,Occasionnel,2,0
46,43,F,Divorcé(e),Consulting,Assistant de Direction,1,6,5,3,4,4,3,4,2,3,Non,12.0,0,2,3,2,2,Transformation Digitale,Occasionnel,1,4
47,50,M,Marié(e),Commercial,Représentant Commercial,1,3,3,2,1,2,3,3,3,3,Oui,14.0,1,0,2,3,2,Marketing,Occasionnel,0,2
49,35,F,Marié(e),Commercial,Représentant Commercial,1,2,2,2,4,3,4,1,3,3,Non,13.0,0,0,3,2,3,Marketing,Occasionnel,2,2
51,36,F,Marié(e),Consulting,Assistant de Direction,9,6,1,1,2,2,1,4,4,3,Oui,14.0,0,1,3,5,4,Infra & Cloud,Occasionnel,0,0
52,33,F,Marié(e),Commercial,Cadre Commercial,2,10,5,3,3,4,1,1,3,3,Non,19.0,0,2,3,1,3,Infra & Cloud,Frequent,1,3
53,35,M,Divorcé(e),Consulting,Consultant,1,1,1,0,3,3,4,3,3,3,Non,12.0,0,1,3,4,2,Autre,Occasionnel,0,0
54,27,F,Divorcé(e),Consulting,Consultant,1,1,1,0,4,3,1,4,3,3,Non,13.0,0,1,6,2,4,Infra & Cloud,Occasionnel,0,0
55,26,M,Célibataire,Consulting,Consultant,1,1,1,0,1,1,3,3,2,3,Non,12.0,1,0,2,25,3,Infra & Cloud,Occasionnel,0,1
56,27,M,Célibataire,Commercial,Cadre Commercial,1,9,9,8,4,3,3,4,3,3,Non,15.0,0,0,0,8,3,Infra & Cloud,Frequent,1,7
57,30,F,Célibataire,Consulting,Consultant,1,12,12,8,3,3,4,4,3,4,Non,23.0,0,0,2,1,2,Transformation Digitale,Frequent,3,7
58,41,F,Marié(e),Consulting,Directeur Technique,1,23,22,15,2,3,3,4,3,3,Non,12.0,1,0,0,12,3,Entrepreunariat,Occasionnel,15,8
60,34,M,Célibataire,Commercial,Cadre Commercial,0,10,9,5,2,3,3,3,3,4,Non,20.0,0,0,2,23,4,Marketing,Aucun,8,7
61,37,M,Marié(e),Consulting,Assistant de Direction,4,8,1,0,2,3,2,1,3,4,Non,21.0,0,0,1,19,2,Infra & Cloud,Occasionnel,0,0
62,46,M,Célibataire,Commercial,Cadre Commercial,4,14,9,6,1,3,4,3,3,4,Oui,21.0,0,0,4,5,4,Marketing,Frequent,0,8
63,35,M,Marié(e),Consulting,Consultant,1,1,1,0,4,4,4,4,3,3,Non,19.0,0,0,2,8,1,Infra & Cloud,Occasionnel,0,1
64,48,M,Célibataire,Consulting,Consultant,9,23,1,0,1,2,3,4,3,3,Oui,13.0,1,0,2,1,2,Infra & Cloud,Occasionnel,0,0
65,28,M,Célibataire,Consulting,Consultant,1,2,2,2,3,3,3,3,2,3,Oui,13.0,1,0,3,5,4,Entrepreunariat,Occasionnel,2,2
68,44,F,Divorcé(e),Commercial,Cadre Commercial,5,9,4,3,2,3,1,3,2,4,Oui,21.0,0,1,2,1,5,Marketing,Occasionnel,1,3
70,35,M,Marié(e),Consulting,Manager,2,10,4,0,3,2,1,3,3,3,Oui,13.0,0,1,3,11,2,Transformation Digitale,Aucun,2,3
72,26,F,Marié(e),Commercial,Cadre Commercial,7,5,2,2,3,2,4,3,2,3,Oui,19.0,0,1,2,23,3,Marketing,Occasionnel,0,0
73,33,F,Célibataire,Consulting,Directeur Technique,1,15,15,14,1,3,4,3,3,3,Oui,12.0,0,0,1,1,2,Infra & Cloud,Frequent,8,12
74,35,M,Marié(e),Commercial,Cadre Commercial,1,9,9,8,2,3,1,4,2,4,Non,22.0,0,1,3,18,5,Infra & Cloud,Frequent,1,8
75,35,F,Marié(e),Consulting,Consultant,3,4,2,2,3,3,1,3,3,3,Oui,15.0,0,1,3,23,4,Transformation Digitale,Occasionnel,2,2
76,31,M,Divorcé(e),Consulting,Consultant,3,10,7,7,4,3,4,4,2,4,Non,22.0,0,1,3,7,4,Infra & Cloud,Occasionnel,1,7
77,37,M,Divorcé(e),Consulting,Tech Lead,1,7,7,5,1,2,3,3,4,3,Non,18.0,0,1,2,1,4,Infra & Cloud,Occasionnel,0,7
78,32,M,Marié(e),Consulting,Tech Lead,1,9,9,8,1,3,4,2,3,4,Oui,22.0,0,1,3,1,3,Transformation Digitale,Occasionnel,7,8
79,38,F,Célibataire,Consulting,Consultant,1,10,10,3,4,3,4,4,3,3,Non,11.0,0,0,2,29,5,Infra & Cloud,Frequent,9,9
80,50,F,Divorcé(e),Consulting,Directeur Technique,5,29,27,3,2,2,3,4,2,3,Oui,12.0,0,1,2,7,2,Transformation Digitale,Occasionnel,13,8
81,59,F,Célibataire,Commercial,Cadre Commercial,7,28,21,16,1,3,1,4,2,3,Non,11.0,0,0,3,25,3,Infra & Cloud,Occasionnel,7,9
83,36,F,Divorcé(e),Consulting,Manager,1,17,17,14,3,3,3,2,3,3,Non,13.0,0,3,2,8,3,Entrepreunariat,Occasionnel,12,8
84,55,F,Divorcé(e),Consulting,Senior Manager,2,21,5,0,4,3,3,3,3,3,Oui,14.0,0,3,2,8,3,Transformation Digitale,Occasionnel,0,2
85,36,M,Célibataire,Consulting,Tech Lead,1,6,6,5,2,2,2,3,3,3,Non,13.0,0,0,3,11,3,Infra & Cloud,Frequent,0,3
86,45,M,Divorcé(e),Consulting,Assistant de Direction,2,25,1,0,2,3,1,3,3,3,Non,17.0,0,1,2,7,3,Infra & Cloud,Occasionnel,0,0
88,35,M,Marié(e),Consulting,Assistant de Direction,4,5,3,2,2,3,1,4,2,3,Non,13.0,0,1,2,1,3,Transformation Digitale,Frequent,1,2
90,36,M,Marié(e),Consulting,Assistant de Direction,0,2,1,0,4,2,3,1,2,3,Oui,17.0,1,1,0,9,3,Transformation Digitale,Occasionnel,0,0
91,59,F,Célibataire,Commercial,Cadre Commercial,7,20,4,3,1,2,3,4,2,3,Non,11.0,0,0,2,1,1,Infra & Cloud,Frequent,1,3
94,29,M,Marié(e),Consulting,Assistant de Direction,0,6,5,4,3,3,2,4,3,4,Non,23.0,0,1,3,2,3,Infra & Cloud,Occasionnel,0,4
95,31,M,Célibataire,Consulting,Assistant de Direction,1,1,1,1,3,3,2,2,3,3,Non,17.0,0,0,4,1,4,Transformation Digitale,Occasionnel,1,0
96,32,M,Marié(e),Consulting,Assistant de Direction,1,10,10,4,2,3,2,2,3,3,Non,17.0,0,2,3,1,3,Infra & Cloud,Occasionnel,0,9
97,36,F,Marié(e),Consulting,Consultant,3,5,1,0,2,4,4,2,3,3,Non,12.0,0,0,3,6,3,Infra & Cloud,Occasionnel,0,0
98,31,F,Célibataire,Consulting,Tech Lead,1,11,11,7,3,3,4,4,3,4,Non,23.0,0,0,2,8,4,Infra & Cloud,Occasionnel,1,8
100,35,M,Célibataire,Commercial,Cadre Commercial,0,16,15,13,3,2,1,2,3,3,Non,14.0,0,0,2,1,4,Marketing,Occasionnel,2,8
101,45,M,Marié(e),Consulting,Directeur Technique,4,17,0,0,4,3,1,2,4,3,Oui,14.0,0,0,3,6,4,Autre,Occasionnel,0,0
102,37,M,Célibataire,Consulting,Directeur Technique,4,16,5,2,1,3,3,1,4,3,Non,13.0,0,0,3,7,4,Transformation Digitale,Occasionnel,0,2
103,46,M,Divorcé(e),Ressources Humaines,Ressources Humaines,8,16,4,2,2,3,2,4,3,4,Oui,22.0,0,1,2,5,2,Transformation Digitale,Occasionnel,0,2
104,30,M,Marié(e),Consulting,Consultant,1,10,10,8,4,2,4,3,2,3,Oui,12.0,0,2,1,1,1,Infra & Cloud,Occasionnel,3,0
105,35,M,Célibataire,Consulting,Assistant de Direction,1,6,6,4,2,2,3,1,3,3,Non,18.0,0,0,3,1,3,Transformation Digitale,Occasionnel,0,4
106,55,M,Marié(e),Commercial,Cadre Commercial,3,24,1,0,1,3,4,4,3,3,Non,14.0,0,1,4,1,2,Infra & Cloud,Occasionnel,1,0
107,38,F,Divorcé(e),Consulting,Assistant de Direction,7,17,13,11,2,1,4,4,3,3,Oui,12.0,0,3,3,6,3,Transformation Digitale,Aucun,1,9
110,34,M,Marié(e),Consulting,Tech Lead,1,5,5,2,1,3,2,3,3,3,Non,15.0,0,0,2,1,2,Transformation Digitale,Occasionnel,1,3
112,56,M,Célibataire,Consulting,Tech Lead,4,37,6,4,4,1,4,1,2,3,Non,11.0,0,0,3,7,3,Infra & Cloud,Occasionnel,0,2
113,23,M,Divorcé(e),Commercial,Représentant Commercial,3,3,0,0,3,3,1,3,3,3,Non,13.0,0,1,3,2,1,Entrepreunariat,Occasionnel,0,0
116,51,M,Marié(e),Consulting,Consultant,3,10,4,2,4,3,4,2,3,4,Non,23.0,0,2,4,9,4,Infra & Cloud,Occasionnel,0,3
117,30,M,Marié(e),Consulting,Manager,1,11,11,10,3,2,4,1,3,3,Non,19.0,0,3,3,2,3,Infra & Cloud,Occasionnel,10,8
118,46,M,Célibataire,Commercial,Cadre Commercial,1,9,9,8,3,2,4,4,3,3,Non,16.0,1,0,3,9,2,Transformation Digitale,Occasionnel,4,7
119,40,M,Marié(e),Consulting,Manager,1,22,22,3,3,2,2,4,2,4,Non,22.0,0,1,3,1,4,Infra & Cloud,Frequent,11,11
120,51,M,Célibataire,Commercial,Cadre Commercial,0,11,10,7,3,3,4,4,1,4,Oui,22.0,0,0,2,21,4,Marketing,Occasionnel,1,0
121,30,F,Divorcé(e),Commercial,Cadre Commercial,1,11,11,8,3,2,2,2,2,3,Oui,12.0,0,3,4,4,2,Transformation Digitale,Occasionnel,2,7
124,46,M,Marié(e),Consulting,Manager,2,21,10,9,3,2,1,3,2,3,Oui,13.0,0,1,5,1,3,Transformation Digitale,Frequent,9,5
125,32,M,Célibataire,Commercial,Cadre Commercial,1,12,11,8,2,3,3,1,3,3,Non,16.0,0,0,0,6,4,Transformation Digitale,Occasionnel,5,7
126,54,F,Marié(e),Consulting,Directeur Technique,9,16,4,3,1,3,3,1,1,3,Non,12.0,0,1,5,2,4,Entrepreunariat,Occasionnel,0,3
128,24,F,Marié(e),Commercial,Cadre Commercial,0,4,3,2,1,3,3,1,2,4,Non,21.0,0,1,2,3,2,Autre,Occasionnel,0,2
129,28,M,Marié(e),Commercial,Cadre Commercial,1,5,5,4,2,3,3,2,4,3,Non,15.0,0,0,3,4,3,Transformation Digitale,Aucun,0,4
131,58,M,Célibataire,Commercial,Cadre Commercial,0,38,37,10,4,3,3,3,2,3,Non,13.0,0,0,1,10,4,Transformation Digitale,Occasionnel,1,8
132,44,M,Marié(e),Consulting,Consultant,4,17,3,2,2,3,2,3,4,3,Non,12.0,0,1,3,23,3,Transformation Digitale,Aucun,1,2
133,37,M,Divorcé(e),Ressources Humaines,Ressources Humaines,4,7,3,2,3,3,1,4,3,4,Oui,22.0,1,0,3,6,4,Ressources Humaines,Occasionnel,0,2
134,32,M,Célibataire,Consulting,Assistant de Direction,1,1,1,0,4,3,1,4,3,3,Non,13.0,0,0,2,1,1,Infra & Cloud,Occasionnel,0,0
137,20,F,Célibataire,Consulting,Consultant,1,1,1,0,4,2,4,2,3,3,Oui,18.0,1,0,5,6,3,Infra & Cloud,Frequent,1,0
138,34,F,Célibataire,Consulting,Assistant de Direction,1,16,16,13,1,3,3,3,3,3,Non,14.0,0,0,3,6,4,Autre,Occasionnel,2,10
139,37,M,Divorcé(e),Consulting,Manager,5,17,1,0,3,2,4,4,4,3,Non,14.0,0,1,2,2,2,Infra & Cloud,Aucun,0,0
140,59,F,Marié(e),Ressources Humaines,Senior Manager,9,30,3,2,3,2,4,4,3,4,Non,21.0,0,1,3,2,4,Ressources Humaines,Aucun,2,2
141,50,F,Marié(e),Consulting,Directeur Technique,3,28,8,3,1,3,2,1,2,3,Oui,19.0,0,0,1,1,3,Infra & Cloud,Frequent,0,7
142,25,M,Célibataire,Commercial,Cadre Commercial,1,6,6,4,3,2,3,4,3,3,Oui,11.0,1,0,1,5,3,Marketing,Occasionnel,0,3
143,25,M,Marié(e),Consulting,Assistant de Direction,1,2,2,2,4,2,4,3,3,3,Non,11.0,0,2,2,7,1,Transformation Digitale,Occasionnel,2,1
144,22,F,Célibataire,Consulting,Consultant,1,1,0,0,2,3,4,3,3,3,Non,15.0,0,0,5,15,3,Transformation Digitale,Occasionnel,0,0
145,51,F,Célibataire,Consulting,Manager,3,23,13,12,1,2,1,3,2,4,Non,20.0,0,0,1,1,4,Transformation Digitale,Frequent,12,8
147,34,M,Célibataire,Consulting,Consultant,1,9,9,7,1,1,3,4,3,4,Oui,24.0,1,0,3,7,3,Infra & Cloud,Frequent,0,6
148,54,F,Célibataire,Ressources Humaines,Senior Manager,2,23,5,3,4,4,4,3,3,3,Oui,12.0,0,0,3,26,3,Ressources Humaines,Aucun,4,4
150,24,M,Marié(e),Consulting,Consultant,0,6,5,3,2,3,3,3,3,3,Non,12.0,0,1,2,18,1,Infra & Cloud,Occasionnel,1,2
151,34,F,Divorcé(e),Consulting,Assistant de Direction,6,12,1,0,3,2,2,3,3,3,Non,15.0,0,1,3,6,4,Infra & Cloud,Occasionnel,0,0
152,37,M,Célibataire,Commercial,Cadre Commercial,2,12,5,3,3,3,4,1,3,3,Non,12.0,0,0,3,3,3,Infra & Cloud,Occasionnel,1,3
153,34,F,Célibataire,Consulting,Senior Manager,2,14,11,10,3,2,1,4,3,3,Non,12.0,0,0,6,5,3,Transformation Digitale,Occasionnel,5,8
154,36,F,Marié(e),Commercial,Cadre Commercial,0,10,9,7,2,3,4,3,3,3,Non,14.0,0,1,6,11,2,Entrepreunariat,Frequent,2,8
155,36,F,Divorcé(e),Consulting,Consultant,5,7,1,0,1,3,4,1,3,4,Non,22.0,0,1,2,3,2,Infra & Cloud,Occasionnel,0,0
158,43,M,Marié(e),Commercial,Senior Manager,1,25,25,12,3,3,4,4,4,3,Oui,12.0,0,2,3,26,2,Infra & Cloud,Frequent,4,12
159,30,M,Divorcé(e),Consulting,Assistant de Direction,1,10,10,7,1,1,3,3,2,4,Non,25.0,0,3,2,23,3,Infra & Cloud,Frequent,0,9
160,33,M,Marié(e),Commercial,Cadre Commercial,0,8,7,7,3,3,2,1,4,3,Non,13.0,0,1,2,22,2,Marketing,Aucun,0,7
161,56,F,Marié(e),Consulting,Assistant de Direction,9,7,5,4,2,3,2,1,3,3,Oui,18.0,1,3,2,14,4,Infra & Cloud,Occasionnel,4,3
162,51,M,Célibataire,Consulting,Directeur Technique,7,23,20,18,1,3,3,3,3,3,Non,13.0,0,0,5,6,3,Infra & Cloud,Occasionnel,15,15
163,31,M,Marié(e),Commercial,Cadre Commercial,4,12,7,7,2,1,3,2,2,3,Oui,18.0,1,0,3,6,4,Infra & Cloud,Occasionnel,7,7
164,26,F,Marié(e),Consulting,Assistant de Direction,1,5,5,4,3,2,2,3,2,3,Non,19.0,0,0,3,6,3,Autre,Occasionnel,4,3
165,58,F,Marié(e),Consulting,Manager,1,40,40,10,4,3,4,4,2,3,Non,12.0,1,1,3,23,4,Transformation Digitale,Occasionnel,15,6
167,19,M,Célibataire,Commercial,Représentant Commercial,1,0,0,0,4,3,3,4,2,3,Oui,19.0,1,0,2,22,1,Marketing,Occasionnel,0,0
169,22,M,Marié(e),Consulting,Consultant,0,3,2,1,3,3,4,3,3,3,Non,14.0,0,1,2,2,1,Entrepreunariat,Occasionnel,2,1
170,49,F,Marié(e),Consulting,Tech Lead,1,16,15,11,3,3,1,3,2,3,Non,14.0,0,0,2,20,4,Transformation Digitale,Occasionnel,5,11
171,43,F,Célibataire,Consulting,Assistant de Direction,4,18,3,2,2,4,3,4,3,3,Non,12.0,0,0,2,28,3,Transformation Digitale,Frequent,1,2
174,50,F,Célibataire,Commercial,Cadre Commercial,4,16,2,2,3,3,4,4,3,3,Non,11.0,0,0,3,12,3,Marketing,Frequent,2,1
175,31,F,Marié(e),Commercial,Cadre Commercial,3,4,2,2,2,1,3,3,3,3,Oui,11.0,1,1,2,20,3,Infra & Cloud,Occasionnel,2,2
176,41,M,Divorcé(e),Commercial,Cadre Commercial,3,12,9,7,3,3,3,3,3,3,Oui,13.0,0,1,2,9,1,Infra & Cloud,Occasionnel,0,7
177,26,F,Marié(e),Ressources Humaines,Ressources Humaines,1,8,8,7,3,3,3,4,3,4,Non,23.0,0,1,3,25,1,Infra & Cloud,Occasionnel,5,7
178,36,M,Divorcé(e),Consulting,Tech Lead,6,7,3,2,2,3,2,4,3,4,Non,20.0,0,2,0,6,2,Transformation Digitale,Occasionnel,0,1
179,51,M,Célibataire,Consulting,Tech Lead,2,18,4,2,1,1,4,4,3,3,Non,15.0,1,0,2,8,4,Infra & Cloud,Frequent,0,3
182,39,F,Marié(e),Commercial,Cadre Commercial,4,17,15,11,4,2,3,3,4,3,Non,14.0,0,1,1,4,4,Infra & Cloud,Occasionnel,5,9
183,25,M,Marié(e),Commercial,Cadre Commercial,2,6,2,2,1,2,3,4,3,3,Non,18.0,0,0,3,28,3,Infra & Cloud,Occasionnel,2,2
184,30,M,Marié(e),Ressources Humaines,Ressources Humaines,0,12,11,9,3,3,4,4,1,3,Oui,19.0,0,0,2,9,3,Ressources Humaines,Occasionnel,4,7
190,32,F,Célibataire,Consulting,Consultant,7,10,5,4,1,3,1,1,4,4,Non,22.0,1,0,2,9,3,Transformation Digitale,Occasionnel,0,4
192,45,M,Célibataire,Consulting,Assistant de Direction,5,9,6,5,3,3,4,2,2,3,Non,13.0,0,0,2,29,3,Transformation Digitale,Occasionnel,0,3
193,38,F,Célibataire,Consulting,Assistant de Direction,3,19,3,2,4,3,3,2,3,4,Oui,20.0,0,0,2,3,5,Entrepreunariat,Occasionnel,2,2
194,30,F,Célibataire,Consulting,Assistant de Direction,1,5,5,4,1,3,3,3,2,3,Non,14.0,0,0,4,18,3,Infra & Cloud,Occasionnel,0,4
195,32,M,Divorcé(e),Commercial,Cadre Commercial,0,9,8,7,4,1,4,4,4,3,Non,17.0,0,3,2,9,2,Transformation Digitale,Frequent,0,7
197,30,F,Divorcé(e),Consulting,Assistant de Direction,5,8,3,2,4,3,1,4,3,3,Non,14.0,0,1,3,5,3,Entrepreunariat,Occasionnel,2,2
198,30,M,Célibataire,Consulting,Consultant,0,6,5,3,2,2,4,4,3,3,Non,13.0,0,0,3,2,1,Transformation Digitale,Occasionnel,1,2
199,41,M,Divorcé(e),Consulting,Senior Manager,4,21,7,6,4,2,1,2,2,3,Non,13.0,0,1,2,10,3,Infra & Cloud,Frequent,7,7
200,41,M,Marié(e),Consulting,Consultant,2,7,5,0,3,3,1,4,3,4,Non,21.0,0,1,2,9,4,Infra & Cloud,Occasionnel,1,4
201,19,F,Célibataire,Consulting,Consultant,1,1,1,0,2,3,2,4,3,3,Non,14.0,0,0,3,3,1,Transformation Digitale,Occasionnel,0,0
202,40,F,Divorcé(e),Consulting,Assistant de Direction,1,20,20,7,2,3,2,1,3,3,Non,11.0,0,1,2,26,3,Transformation Digitale,Frequent,2,13
204,35,M,Marié(e),Commercial,Cadre Commercial,1,10,10,8,3,3,2,1,3,3,Non,13.0,0,2,3,1,5,Marketing,Occasionnel,0,6
205,53,M,Marié(e),Commercial,Représentant Commercial,2,13,7,7,2,3,3,4,1,4,Oui,20.0,0,1,3,6,2,Marketing,Occasionnel,4,5
206,45,M,Divorcé(e),Consulting,Consultant,8,20,17,9,2,3,2,3,1,3,Non,18.0,0,1,2,9,3,Infra & Cloud,Occasionnel,0,15
207,32,F,Célibataire,Commercial,Cadre Commercial,1,9,9,8,2,3,4,4,3,3,Non,14.0,0,0,2,8,3,Marketing,Frequent,3,7
208,29,M,Marié(e),Consulting,Tech Lead,1,10,10,7,4,3,3,1,3,3,Non,13.0,0,1,1,1,1,Entrepreunariat,Aucun,0,9
211,51,M,Marié(e),Consulting,Tech Lead,2,10,1,0,2,2,3,3,3,3,Non,17.0,0,0,2,7,4,Transformation Digitale,Occasionnel,0,0
214,58,F,Marié(e),Consulting,Assistant de Direction,4,9,1,0,2,2,2,2,2,4,Oui,20.0,0,1,3,9,3,Transformation Digitale,Occasionnel,0,0
215,40,M,Marié(e),Commercial,Cadre Commercial,7,15,12,11,3,2,4,1,2,3,Non,11.0,0,1,2,4,4,Marketing,Occasionnel,2,11
216,34,F,Marié(e),Commercial,Représentant Commercial,6,6,4,3,3,3,3,4,3,3,Non,18.0,0,1,3,2,4,Marketing,Frequent,1,2
217,22,M,Marié(e),Consulting,Assistant de Direction,1,2,2,2,3,3,4,1,3,4,Non,24.0,0,2,6,19,1,Transformation Digitale,Occasionnel,2,2
218,27,M,Divorcé(e),Consulting,Assistant de Direction,6,6,2,2,4,3,2,4,1,3,Non,18.0,0,1,1,9,3,Transformation Digitale,Aucun,2,2
221,28,M,Marié(e),Consulting,Assistant de Direction,1,5,5,2,3,3,4,3,1,3,Non,11.0,0,1,2,21,3,Transformation Digitale,Occasionnel,0,2
223,57,M,Divorcé(e),Consulting,Manager,3,12,5,3,3,4,4,2,1,3,Oui,16.0,0,1,2,24,2,Infra & Cloud,Occasionnel,1,4
224,27,M,Divorcé(e),Consulting,Assistant de Direction,1,1,1,1,3,2,3,4,2,3,Oui,15.0,0,1,2,3,3,Transformation Digitale,Aucun,0,1
226,50,F,Célibataire,Consulting,Senior Manager,3,21,5,4,3,3,2,2,3,3,Non,15.0,0,0,5,11,3,Infra & Cloud,Occasionnel,4,4
